t,cost
129.35357565700002,16183.266196096809
129.549653912,16208.156218009191
129.741779476,16226.891789790578
129.947135223,16239.377905446336
130.14865265900002,16264.31710564329
130.35274443400002,16289.176111046387
130.54851150500002,16289.176111046387
130.744943041,16320.129019435217
130.940093759,16326.274224124478
131.141112224,16338.563833473881
131.35204883,16363.071670714906
131.554290998,16375.277316647924
131.76542576100002,16393.516163020526
131.942503124,16417.74045524926
132.15549968800002,16417.74045524926
132.342820944,16441.86802824592
132.54512501800002,16459.898972832856
132.748481074,16459.898972832856
132.94986305700002,16495.697705556202
133.145278934,16513.468442072808
133.35710740300001,16513.468442072808
133.556718889,16537.06869390019
133.74946317500002,16554.652582174276
133.964302491,16554.652582174276
134.138303654,16584.919337518822
134.342999326,16584.919337518822
134.548699591,16598.89798872068
134.73757099600002,16617.36062773755
134.950700465,16626.507949494797
135.15292222000002,16640.101085040304
135.346273895,16657.96966567815
135.55123734900002,16662.39814753065
135.75539754800002,16675.53087295478
135.952235288,16692.78581233758
136.14515993400002,16692.78581233758
136.344209873,16709.73030897121
136.537423283,16726.340797368834
136.745036067,16726.340797368834
136.951315849,16746.553477086058
137.14121189000002,16762.19347235681
137.344235586,16762.19347235681
137.541921081,16777.356231203186
137.75274252,16795.672957313505
137.946218358,16795.672957313505
138.153625282,16806.247167838217
138.34983803900002,16819.927886302976
138.551172941,16819.927886302976
138.74716807000001,16833.132786416707
138.938443532,16848.83355098243
139.147052838,16848.83355098243
139.34245083800002,16860.684011437676
139.53976209700002,16869.148727577933
139.74299697200001,16871.91030528145
139.954869535,16879.929109780674
140.151996655,16892.610387363377
140.34542643900002,16892.610387363377
140.57062093300001,16902.15110324105
140.743035381,16908.96673058533
140.94747139700002,16908.96673058533
141.14297307,16921.91546620342
141.345375201,16927.9334633279
141.54540665000002,16927.9334633279
141.748854927,16935.535366216907
141.93988116900002,16944.380691682763
142.148121276,16944.380691682763
142.350982425,16950.977663459136
142.552240216,16954.1312467114
142.751184396,16955.66934636569
142.95330625,16964.48694100674
143.14709043300002,16964.48694100674
143.348723295,16968.649836259705
143.54422073700002,16974.001056734047
143.75029263800002,16974.001056734047
143.946346685,16980.31919573111
144.14467117200002,16985.06936151762
144.367203808,16985.06936151762
144.548793323,16989.59957404108
144.74550694,16992.85963876475
144.94785518,16992.85963876475
145.141805524,16999.101796648258
145.35296425500002,17002.06220418129
145.547376119,17002.06220418129
145.772784734,17005.84229359467
145.95848883600001,17006.764303952234
146.14864804,17009.471137739973
146.345635605,17013.17433762964
146.546232766,17013.17433762964
146.745151936,17015.186802481865
146.954019603,17017.79159751445
147.147636713,17017.79159751445
147.35544059,17020.922325473042
147.544616475,17023.321846578765
147.762440843,17023.321846578765
147.951159764,17025.606593530556
148.146233375,17028.33806527047
148.36977370600002,17028.33806527047
148.54909262,17029.91501931385
148.76376935500002,17031.966440750366
148.961059983,17031.966440750366
149.14633335300002,17034.480391194276
149.347350009,17036.416802849377
149.555543785,17036.416802849377
149.74992591900002,17038.27732298608
149.960417388,17040.04355622555
150.151311853,17040.04355622555
150.351166492,17041.72501443053
150.553154779,17043.34568848396
150.760906064,17043.34568848396
150.944884656,17044.856994330916
151.146260903,17045.563400975025
151.354418245,17046.538385487496
151.54505819800002,17047.813791719796
151.753751153,17047.813791719796
151.97660764900002,17048.78411416936
152.145980613,17050.043221597505
152.35075522900001,17050.043221597505
152.53767969100002,17051.63996871913
152.747592567,17052.87233740203
152.955260906,17052.87233740203
153.154696597,17054.125004358793
153.351802816,17055.640855358553
153.551193272,17055.640855358553
153.74396790100002,17056.539586259274
153.943965569,17057.750535067844
154.13835949600002,17057.750535067844
154.34966712800002,17059.188446685486
154.543222202,17060.049663267426
154.745736689,17060.049663267426
154.958719413,17061.1128291973
155.15411209500002,17061.838915617212
155.353184663,17062.292273510928
155.540331801,17063.164198660015
155.74378966,17063.164198660015
155.96444812800002,17063.95866991736
156.152642514,17064.874640092592
156.345243798,17064.874640092592
156.543335461,17065.404745319265
156.745609527,17066.09852403802
156.943735252,17066.09852403802
157.153830343,17066.73551253954
157.345816535,17067.539487281825
157.550212646,17067.539487281825
157.741238425,17068.18667086951
157.93955318800002,17068.627117173517
158.159364606,17068.627117173517
